lng,lat
2.3387,48.8582
2.3387,48.8582
37.6172,55.7527
-77.4728,39.0481
103.6839,1.314
-95.0,60.0
103.8547,1.2929
139.7532,35.6882
-77.4728,39.0481
11.1617,49.405
-0.2333,51.5333
2.3387,48.8582
139.7459,35.5826
-80.315,35.8684
-87.7908,41.8907
9.491,51.2993
113.25,23.1167
24.0978,56.9496
-76.2343,36.7348
-82.4948,28.0109
-77.4728,39.0481
7.0152,51.156
-78.6625,42.9102
11.8783,43.4631
-118.2578,34.0549
-118.275,34.047
24.9375,60.1708
-74.4606,40.5511
103.8547,1.2929
19.9333,47.7833
-87.8588,42.7256
-0.1959,51.477
21.7643,61.513
-97.822,37.751
2.1,49.0167
4.8218,52.3742
-0.05,51.5167
2.3527,48.8543
11.6074,48.1089
103.8547,1.2929
-79.3623,43.6547
-8.2962,41.4444
8.7493,51.7152
24.9375,60.1708
-122.6692,45.5245
9.491,51.2993
30.5238,50.4547
-105.0002,40.4961
8.6843,50.1188
8.7321,47.5356
-122.775,47.1101
-74.0247,40.793
4.9392,52.352
8.6879,49.4071
-43.0324,-22.8193
-97.822,37.751
9.7833,50.0167
11.585,48.1497
151.1906,-33.9256
9.491,51.2993
24.0978,56.9496
-77.4728,39.0481
103.9109,1.3257
130.3742,33.5802
-77.539,39.018
-121.9753,37.3417
-94.5713,39.1029
5.2824,52.211
11.1617,49.405
-74.0247,40.793
2.3387,48.8582
28.0,53.0
2.3387,48.8582
18.2553,49.8119
4.8995,52.3824
-73.5992,41.4097
7.1818,50.8956
138.0,36.0
-97.1401,49.898
-82.9383,40.081
2.3387,48.8582
2.3387,48.8582
9.491,51.2993
-73.8736,45.3161
-78.9378,43.8719
8.7147,50.1103
-83.0235,39.9653
46.7152,24.6537
-90.5575,38.4131
8.6879,49.4071
77.5937,12.9719
-70.2625,43.734
11.585,48.1497
8.6879,49.4071
-121.9777,37.3008
18.05,59.3333
-77.4728,39.0481
112.5,2.5
14.2582,47.8872
120.1619,30.294
8.1169,48.5918
-122.4866,37.7562
16.3479,48.2994
8.5546,47.3664
-122.0748,37.4043
-74.0247,40.793
-77.539,39.018
9.0,51.0
91.2842,53.8236
12.1333,58.1333
120.1619,30.294
37.6172,55.7527
138.6004,-35.0701
9.491,51.2993
-105.0935,40.4236
-0.1224,51.4964
-122.0363,37.3688
9.2792,48.8086
4.8995,52.3824
103.8547,1.2929
34.75,31.5
-80.843,35.2296
8.6879,49.4071
2.3387,48.8582
30.5233,50.45
24.9375,60.1708
-96.8217,32.7787
26.05,44.6
15.5,49.75
116.3889,39.9288
-68.15,49.2167
-43.327,-22.7882
-84.3797,33.8336
-97.822,37.751
-80.843,35.2296
30.5233,50.45
8.5546,47.3664
-119.7143,45.8491
-118.3887,34.1449
139.7063,35.6344
113.7266,34.7725
-122.9544,50.1208
-122.3447,47.6144
-87.9805,41.7434
-95.0,60.0
-74.0247,40.793
103.8547,1.2929
9.491,51.2993
9.0,51.0
168.6627,-45.0302
-79.4343,43.6653
103.8,1.3667
2.4659,49.0137
-83.0235,39.9653
-121.8914,37.3388
-71.4797,43.7107
9.491,51.2993
25.4567,44.9254
114.1667,22.25
-79.0025,35.1416
8.6879,49.4071
9.491,51.2993
-74.1403,40.8364
113.7266,34.7725
5.75,52.5
-18.0,65.0
-0.6658,51.5353
24.9375,60.1708
9.491,51.2993
28.9647,41.0186
7.1417,50.6975
130.4167,33.6
-0.6658,51.5353
77.536,28.4962
41.4339,52.7317
2.0,46.0
-119.7143,45.8491
4.9668,52.3436
4.8995,52.3824
-83.0235,39.9653
-97.7672,30.2423
9.491,51.2993
-96.6826,33.0287
-119.7143,45.8491
2.3387,48.8582
-79.3623,43.6547
